x,y,z,vx,vy,vz
0.101708,0.101708,0.101708,1.031062,1.031062,1.031062
1.100648,1.100648,1.100648,1.011773,1.011773,1.011773
2.100382,2.100382,2.100382,1.006945,1.006945,1.006945
3.100263,3.100263,3.100263,1.004786,1.004786,1.004786
4.100195,4.100195,4.100195,1.003559,1.003559,1.003559
5.100152,5.100152,5.100152,1.002763,1.002763,1.002763
6.100121,6.100121,6.100121,1.002200,1.002200,1.002200
7.100098,7.100098,7.100098,1.001776,1.001776,1.001776
8.100079,8.100079,8.100079,1.001442,1.001442,1.001442
9.100064,9.100064,9.100064,1.001168,1.001168,1.001168
10.100055,10.100055,10.100055,1.000937,1.000937,1.000937
11.100040,11.100040,11.100040,1.000734,1.000734,1.000734
12.100030,12.100030,12.100030,1.000552,1.000552,1.000552
13.100021,13.100021,13.100021,1.000385,1.000385,1.000385
14.100012,14.100012,14.100012,1.000228,1.000228,1.000228
15.100003,15.100003,15.100003,1.000075,1.000075,1.000075
16.100000,16.100000,16.100000,0.999925,0.999925,0.999925
17.099989,17.099989,17.099989,0.999773,0.999773,0.999773
18.099977,18.099977,18.099977,0.999615,0.999615,0.999615
19.099970,19.099970,19.099970,0.999448,0.999448,0.999448
20.099958,20.099958,20.099958,0.999266,0.999266,0.999266
21.099945,21.099945,21.099945,0.999064,0.999064,0.999064
22.099936,22.099936,22.099936,0.998831,0.998831,0.998831
23.099920,23.099920,23.099920,0.998558,0.998558,0.998558
24.099899,24.099899,24.099899,0.998223,0.998223,0.998223
25.099878,25.099878,25.099878,0.997800,0.997800,0.997800
26.099848,26.099848,26.099848,0.997237,0.997237,0.997237
27.099804,27.099804,27.099804,0.996441,0.996441,0.996441
28.099735,28.099735,28.099735,0.995214,0.995214,0.995214
29.099617,29.099617,29.099617,0.993055,0.993055,0.993055
30.099352,30.099352,30.099352,0.988227,0.988227,0.988227
31.098291,31.098291,31.098291,0.968939,0.968939,0.968939
